model,coverage_50,scaled_width_50,coverage_80,scaled_width_80,coverage_95,scaled_width_95,calibration_error_50,calibration_error_80,calibration_error_95,mean_calibration_error
lightgbm,0.694327731092437,0.8942783396725481,0.9159663865546218,1.6494574635044346,0.967436974789916,2.6341719066385965,0.19432773109243695,0.11596638655462177,0.017436974789916015,0.10924369747899158
sarima,0.8156512605042017,1.4655130594974703,0.9506302521008404,2.482505955094359,0.9879201680672269,3.49415634564299,0.31565126050420167,0.15063025210084036,0.03792016806722698,0.16806722689075634
ets,0.8161764705882353,1.811313098148558,0.9621848739495799,3.2147396833251687,0.9889705882352942,4.646131358058054,0.3161764705882353,0.1621848739495798,0.0389705882352942,0.17244397759103644
snaive,0.9007352941176471,2.3474283992449316,0.9747899159663865,4.135914473047626,0.9942226890756303,6.083191946572078,0.4007352941176471,0.1747899159663865,0.04422268907563032,0.2065826330532213
