cost_scenario,target_quantile,model,policy,cost_per_demand_unit,understock_rate,overstock_rate,shortage_day_rate,demand_coverage_rate,rank
balanced,0.5,ets,q50,0.8746342495637709,0.4702586416154581,0.40437560794831273,0.2920168067226891,0.5297413583845418,1
balanced,0.5,lightgbm,q50,0.8821814138633914,0.4438849292314915,0.43829648463189996,0.2804621848739496,0.5561150707685085,2
balanced,0.5,snaive,q50,1.0061137066938228,0.5603550067686234,0.44575869992519934,0.2888655462184874,0.4396449932313766,3
balanced,0.5,sarima,q50,1.0436635585273015,0.4417778577436076,0.601885700783694,0.28256302521008403,0.5582221422563924,4
shortage_x3,0.75,lightgbm,q75,2.017276928306346,0.23540007494753487,1.3110767034637412,0.13865546218487396,0.7645999250524651,1
shortage_x3,0.75,sarima,q75,3.3723471731062515,0.1192002734146873,3.01474635286219,0.10609243697478991,0.8807997265853127,2
shortage_x3,0.75,ets,q75,4.680053351229955,0.09399004110734248,4.398083227907928,0.0940126050420168,0.9060099588926576,3
shortage_x3,0.75,snaive,q75,5.491433599733507,0.06990606212826116,5.281715413348723,0.06197478991596639,0.9300939378717388,4
shortage_x9,0.9,lightgbm,q90,3.6595766108116656,0.14228560784547511,2.3790061402023897,0.07615546218487396,0.8577143921545248,1
shortage_x9,0.9,sarima,q90,5.746073400969432,0.038767760589551836,5.397163555663465,0.037289915966386554,0.9612322394104482,2
shortage_x9,0.9,ets,q90,8.569020695096143,0.030246113139429407,8.296805676841277,0.03361344537815126,0.9697538868605706,3
shortage_x9,0.9,snaive,q90,10.141850007716831,0.013610941124485307,10.019351537596464,0.012605042016806723,0.9863890588755146,4
