serie_id,model,coverage_50,scaled_width_50,coverage_80,scaled_width_80,coverage_95,scaled_width_95,calibration_error_50,calibration_error_80,calibration_error_95,mean_calibration_error
FOODS_1_206_TX_2,lightgbm,0.8067226890756303,0.6358959107881659,0.9243697478991597,1.2287200704432433,0.9810924369747899,2.414597136068969,0.3067226890756303,0.12436974789915967,0.031092436974789917,0.15406162464985995
FOODS_1_206_TX_2,sarima,0.9810924369747899,1.8948566812359913,0.9978991596638656,3.219625987303869,1,4.6978745649116425,0.48109243697478987,0.1978991596638655,0.050000000000000044,0.24299719887955182
FOODS_1_206_TX_2,ets,0.9831932773109243,3.065231191692993,0.9978991596638656,5.608400964144595,1,8.440945434730663,0.4831932773109243,0.1978991596638655,0.050000000000000044,0.24369747899159663
FOODS_1_206_TX_2,snaive,0.9873949579831933,3.2297164224485497,1,5.907907774324919,1,8.893460194241843,0.4873949579831933,0.19999999999999996,0.050000000000000044,0.2457983193277311
FOODS_3_150_CA_1,lightgbm,0.8550420168067226,0.5128046167587492,0.8886554621848739,0.8785982365396974,0.9264705882352942,1.679261691576089,0.35504201680672265,0.08865546218487386,0.0235294117647058,0.15574229691876743
FOODS_3_150_CA_1,sarima,0.9201680672268907,1.2765758565166931,0.9726890756302521,2.233841048866088,0.9957983193277311,3.267087032299571,0.4201680672268907,0.17268907563025204,0.04579831932773115,0.21288515406162464
FOODS_3_150_CA_1,ets,0.9285714285714286,1.541167834872984,0.9873949579831933,2.8064975650203703,0.9978991596638656,4.168328910335544,0.4285714285714286,0.18739495798319328,0.0478991596638656,0.22128851540616248
FOODS_3_150_CA_1,snaive,0.9411764705882353,2.038689496521252,0.9852941176470589,3.736371919363761,0.9978991596638656,5.614613044622968,0.4411764705882353,0.18529411764705883,0.0478991596638656,0.22478991596638656
FOODS_3_156_CA_3,lightgbm,0.5021008403361344,1.2580819523273579,0.9201680672268908,2.3221552313099623,0.9789915966386554,3.331567930551825,0.0021008403361344463,0.12016806722689077,0.02899159663865547,0.0504201680672269
FOODS_3_156_CA_3,ets,0.5945378151260504,1.2847923252769162,0.9096638655462185,2.1423446303238602,0.9642857142857143,2.7967568886662306,0.09453781512605042,0.10966386554621843,0.014285714285714346,0.07282913165266107
FOODS_3_156_CA_3,sarima,0.6281512605042017,1.308956950613884,0.9180672268907564,2.148992999016544,0.9621848739495799,2.8098478884392937,0.12815126050420167,0.11806722689075633,0.0121848739495799,0.08613445378151263
FOODS_3_156_CA_3,snaive,0.8067226890756303,2.068728477164371,0.9474789915966386,3.416466394383229,0.9894957983193278,4.834100903786894,0.3067226890756303,0.14747899159663858,0.03949579831932781,0.1645658263305322
FOODS_3_476_TX_2,lightgbm,0.6134453781512605,1.1703308788159195,0.930672268907563,2.1683563157248353,0.9831932773109243,3.1112608683575025,0.11344537815126055,0.130672268907563,0.03319327731092436,0.09243697478991597
FOODS_3_476_TX_2,sarima,0.7331932773109244,1.3816627496233127,0.9138655462184874,2.327563785190934,0.9936974789915967,3.201815896921454,0.23319327731092443,0.11386554621848732,0.043697478991596705,0.13025210084033614
FOODS_3_476_TX_2,ets,0.7584033613445378,1.3540610407513383,0.9537815126050421,2.3017155738118498,0.9936974789915967,3.1784941984997785,0.2584033613445378,0.15378151260504203,0.043697478991596705,0.1519607843137255
FOODS_3_476_TX_2,snaive,0.8676470588235294,2.0525792008455532,0.9663865546218487,3.482911804118594,0.9894957983193278,4.990593643636606,0.36764705882352944,0.1663865546218487,0.03949579831932781,0.1911764705882353
